Mass,Intensity,Charge,mz
17586.28084503207,37659.3,12.0,1466.4472433654034
21768.35093503207,35454.2,15.0,1452.1640323654035
14497.539965032069,48459.69,10.0,1450.66103903207
16722.83803503207,39464.48,12.0,1394.4936758654035
17103.09475503207,26462.26,12.0,1426.1817358654034
7118.40381503207,24842.61,20.0,356.87762453207
8097.32558503207,24121.83,6.0,1350.3941183654033
33558.956375032074,40339.83,24.0,1399.25568128207
18468.476935032068,50720.06,13.0,1421.5823719551468
38722.46936503207,40160.0,27.0,1435.1360302172552
17021.071535032068,614479.87,12.0,1419.34646753207
14554.587275032069,18387.15,10.0,1456.36577003207
32981.689655032074,29096.81,23.0,1434.9505132929396
25847.28255503207,34432.28,16.0,1616.3999956570701
8586.55692503207,37660.37,6.0,1431.9326750320702
5771.1125850320705,38453.06,4.0,1443.53401503207
1595.05196503207,25875.03,1.0,1595.05196503207
11445.06096503207,45795.79,8.0,1431.51446753207
17147.02217503207,40294.41,12.0,1429.8423541987368
36038.89908503207,48241.78,25.0,1442.52347543207
22008.41160503207,28153.87,15.0,1468.1680770320702
18034.96448503207,38124.62,13.0,1388.2352604166854
23364.61854503207,28258.37,16.0,1461.23349503207
8655.755615032069,47839.57,6.0,1443.46579003207
18144.472015032068,23050.88,13.0,1396.6589165705316
28699.00044503207,38044.47,20.0,1435.90745603207
30478.46624503207,18707.04,21.0,1452.315368841594
28666.983835032068,34605.98,20.0,1434.30662553207
11283.70589503207,24994.27,8.0,1411.34508378207
4619.45509503207,19695.89,3.0,1540.4902483654032
41707.602245032074,36320.65,29.0,1439.1662533079323
16001.70029503207,26737.87,12.0,1334.3988641987366
41765.531085032075,40158.74,29.0,1441.1637995148287
36011.71380503207,36252.77,25.0,1441.43606423207
16879.95289503207,430933.56,12.0,1407.5865808654034
2975.10004503207,18792.91,2.0,1488.05393503207
4493.35510503207,23868.58,3.0,1498.4569183654035
8572.55684503207,30627.42,6.0,1429.5993283654034
7382.8314050320705,27247.09,5.0,1477.37254103207
17858.30173503207,14918.52,13.0,1374.6458181089931
12713.797095032069,32752.43,9.0,1413.5399661431811
33027.59707503207,24431.47,23.0,1436.9464880755481
15410.389625032069,37701.23,11.0,1401.8607159411608
7565.00609503207,15780.22,5.0,1513.80747903207
30124.95722503207,33745.78,21.0,1435.481605984451
41632.19663503207,30396.25,29.0,1436.5660598596562
35746.86077503207,39144.79,25.0,1430.84194303207
40280.020405032075,36676.59,28.0,1439.5439886034987
23061.48500503207,26734.29,16.0,1442.2876487820702
16625.29004503207,23231.5,11.0,1512.3062086684338
21728.37663503207,33094.27,15.0,1449.49907903207
8907.71194503207,27944.12,6.0,1485.4585116987369
10340.755045032069,22204.19,7.0,1478.1145707463556
34575.58439503207,26881.82,24.0,1441.6151821154033
8811.642575032069,24199.63,6.0,1469.44695003207
22899.33415503207,30547.93,16.0,1432.15322065707
2666.42674503207,22503.87,2.0,1333.71728503207
21495.11252503207,26191.41,15.0,1433.9481383654033
42961.921625032075,30795.0,30.0,1433.0382850320702
19025.54588503207,19761.29,13.0,1464.4338296474546
30072.44368503207,25757.68,21.0,1432.9809612225463
34431.24271503207,25124.59,24.0,1435.6009454487366
11190.99573503207,20772.42,8.0,1399.75631378207
24534.48040503207,19115.62,17.0,1444.153270914423
42864.76588503207,24997.98,30.0,1429.7997603654035
38771.657355032075,22076.55,27.0,1436.9578076246628
30234.66403503207,21979.43,21.0,1440.7057397939748
20049.70559503207,26771.1,14.0,1433.0576657463557
15342.37826503207,19873.57,11.0,1395.67786503207
23658.736575032068,10969.71,17.0,1392.6389279732464
889.5330150320699,11217.32,1.0,889.5330150320699
1451.4431350320701,10637.38,1.0,1451.4431350320701
16700.87598503207,19517.53,12.0,1392.6635050320701
20060.36815503207,20930.18,14.0,1433.8192771749273
9917.048095032069,519159.86,7.0,1417.5850064606414
11366.334825032069,21342.12,8.0,1421.67370003207
11518.44790503207,14361.33,8.0,1440.68783503207
9996.475155032069,11964.24,7.0,1428.9317293177842
7037.65425503207,225785.26,5.0,1408.33711103207
5711.04112503207,11125129.12,4.0,1428.51615003207
17066.15516503207,5227891.07,12.0,1423.1034366987367
17133.11428503207,6600935.56,12.0,1428.6833633654032
2960.7324850320697,11080.81,2.0,1480.87015503207
4191.00243503207,12734.95,3.0,1397.67269503207
